City,IATA,ID,Name,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,DZ,Type,Source
Tallinn,TLL,415,Lennart Meri Tallinn Airport,Estonia,EETN,59.41329956049999,24.8327999115,131,2,E,Europe/Tallinn,airport,OurAirports
Amsterdam,AMS,580,Amsterdam Airport Schiphol,Netherlands,EHAM,52.308601,4.76389,-11,1,E,Europe/Amsterdam,airport,OurAirports
Antalya,AYT,1688,Antalya International Airport,Turkey,LTAI,36.898701,30.800501,177,3,E,Europe/Istanbul,airport,OurAirports
Athens,ATH,3941,Eleftherios Venizelos International Airport,Greece,LGAV,37.9364013672,23.9444999695,308,2,E,Europe/Athens,airport,OurAirports
Barcelona,BCN,1218,Barcelona International Airport,Spain,LEBL,41.2971,2.07846,12,1,E,Europe/Madrid,airport,OurAirports
Berlin,TXL,351,Berlin-Tegel Airport,Germany,EDDT,52.5597,13.2877,122,1,E,Europe/Berlin,airport,OurAirports
Billund,BLL,608,Billund Airport,Denmark,EKBI,55.7402992249,9.15178012848,247,1,E,Europe/Copenhagen,airport,OurAirports
Brussels,BRU,302,Brussels Airport,Belgium,EBBR,50.9014015198,4.48443984985,184,1,E,Europe/Brussels,airport,OurAirports
Copenhagen,CPH,609,Copenhagen Kastrup Airport,Denmark,EKCH,55.617900848389,12.656000137329,17,1,E,Europe/Copenhagen,airport,OurAirports
Dublin,DUB,599,Dublin Airport,Ireland,EIDW,53.421299,-6.27007,242,0,E,Europe/Dublin,airport,OurAirports
Dubrovnik,DBV,1200,Dubrovnik Airport,Croatia,LDDU,42.5614013671875,18.268199920654297,527,1,E,Europe/Zagreb,airport,OurAirports
Frankfurt,FRA,340,Frankfurt am Main Airport,Germany,EDDF,50.033333,8.570556,364,1,E,Europe/Berlin,airport,OurAirports
Helsinki,HEL,421,Helsinki Vantaa Airport,Finland,EFHK,60.317199707031,24.963300704956,179,2,E,Europe/Helsinki,airport,OurAirports
Herakleion,HER,1452,Heraklion International Nikos Kazantzakis Airport,Greece,LGIR,35.3396987915,25.1802997589,115,2,E,Europe/Athens,airport,OurAirports
Herakleion,HER,1452,Heraklion International Nikos Kazantzakis Airport,Greece,LGIR,35.3396987915,25.1802997589,115,2,E,Europe/Athens,airport,OurAirports
Istanbul,IST,13696,Istanbul Airport,Turkey,LTFM,41.275278,28.751944,325,3,E,\N,airport,OurAirports
Kuressaare,URE,413,Kuressaare Airport,Estonia,EEKE,58.22990036010742,22.50950050354004,14,2,E,Europe/Tallinn,airport,OurAirports
Kutaisi,KUT,3972,Kopitnari Airport,Georgia,UGKO,42.176700592,42.4826011658,223,4,N,Asia/Tbilisi,airport,OurAirports
Kärdla,KDL,412,Kärdla Airport,Estonia,EEKA,58.99079895019531,22.830699920654297,18,2,E,Europe/Tallinn,airport,OurAirports
London,LGW,502,London Gatwick Airport,United Kingdom,EGKK,51.148102,-0.190278,202,0,E,Europe/London,airport,OurAirports
Malaga,AGP,1230,Málaga Airport,Spain,LEMG,36.67490005493164,-4.499110221862793,53,1,E,Europe/Madrid,airport,OurAirports
Malta,MLA,1606,Malta International Airport,Malta,LMML,35.857498,14.4775,300,1,E,Europe/Malta,airport,OurAirports
Milan,BGY,1525,Il Caravaggio International Airport,Italy,LIME,45.673901,9.70417,782,1,E,Europe/Rome,airport,OurAirports
Munich,MUC,346,Munich Airport,Germany,EDDM,48.353802,11.7861,1487,1,E,Europe/Berlin,airport,OurAirports
Napoli,NAP,1561,Naples International Airport,Italy,LIRN,40.886002,14.2908,294,1,E,Europe/Rome,airport,OurAirports
Nice,NCE,1354,Nice-Côte d'Azur Airport,France,LFMN,43.6584014893,7.215869903560001,12,1,E,Europe/Paris,airport,OurAirports
Nuremburg,NUE,347,Nuremberg Airport,Germany,EDDN,49.498699,11.078056,1046,1,E,Europe/Berlin,airport,OurAirports
